,年度,縣市別,序號,醫療院所名稱,醫療院所十碼代碼,郵遞區號,地    址
101,2014,臺北市,102,陳炯輝診所,3501100217,104,臺北市中山區民生東路2段103號
102,2014,臺北市,103,黃喜祥小兒科診所,3501101358,104,臺北市中山區民生東路2段84號
103,2014,臺北市,104,龍江小兒科診所,3501103503,104,臺北市中山區龍江路181-1號
104,2014,臺北市,105,大直診所,3501103272,104,臺北市中山區北安路591號
105,2014,臺北市,106,寧康聯合診所 ,3501103665,104,臺北市中山區遼寧街220號1樓
106,2014,臺北市,107,葉小兒科診所,3501100986,104,臺北市中山區長春路227號
107,2014,臺北市,108,民生承安診所,3501104322,104,臺北市中山區民生東路3段90號
108,2014,臺北市,109,慶恩小兒科診所 ,3501104091,104,臺北市中山區吉林路117號
109,2014,臺北市,110,樂群診所,3501104377,104,臺北市中山區樂群2路210-2號1樓
110,2014,臺北市,111,臺北市立聯合醫院林森院區,0101090517,104,臺北市中山區林森北路530號
111,2014,臺北市,112,高固?診所,3501105310,104,臺北市中山區北安路613號
112,2014,臺北市,113,北安聯合診所,3501101849,104,臺北市中山區北安路569-3號
113,2014,臺北市,114,莊宇龍診所,3501105445,104,臺北市中山區北安路637號
114,2014,臺北市,115,愛鄰診所,3501105767,104,臺北市中山區北安路520-1號
115,2014,臺北市,116,泰安醫院,1501101141 ,104,臺北市中山區民權東路二段92巷2-1號
116,2014,臺北市,117,信安診所,3501106111 ,104,臺北市中山區民生西路24號3樓
117,2014,臺北市,118,農安診所,3501106264 ,104,臺北市中山區農安街62號
118,2014,臺北市,119,王三郎婦產科診所,3501101385 ,104,臺北市中山區中山北路二段166-2號
119,2014,臺北市,120,宗北內科診所,3501102622,104,臺北市中山區民生西路24號1樓
120,2014,臺北市,121,吳振力診所,3501103978,104,臺北市中山區長春路309號
121,2014,臺北市,122,陳世澤內科診所,3501102364,104,臺北市中山區龍江路284-1號
122,2014,臺北市,123,德美診所,3501103334,104,臺北市中山區北安路596號1樓
123,2014,臺北市,124,立媛診所,3501106817,104,臺北市中山區長春路３５４號
124,2014,臺北市,125,杏慈診所,3501106559,104,臺北市中山區民權東路２段１５２巷２之１號 
125,2014,臺北市,126,惟廉診所,3501107065,104,臺北市中山區北安路595巷1號B1
126,2014,臺北市,127,樂唯診所,3501107412,104,臺北市中山區錦州街２９６號
127,2014,臺北市,128,國立臺灣大學醫學院附設醫院北護分院,0401190010,108,臺北市萬華區康定路37號
128,2014,臺北市,129,新和診所 ,3501194166,108,臺北市萬華區萬大路284號
129,2014,臺北市,130,西園醫院,1501190031,108,臺北市萬華區西園路2段270號
130,2014,臺北市,131,財團法人台灣省私立臺北仁濟院附設仁濟醫院,1401190011,108,臺北市萬華區廣州街243號
131,2014,臺北市,132,同仁院醫療財團法人萬華醫院,1401190039,108,臺北市萬華區中華路2段606巷6號
132,2014,臺北市,133,臺北市立聯合醫院附設萬華門診部,2101191068,108,臺北市萬華區東園街152號
133,2014,臺北市,134,天行健診所,3501192733,108,臺北市萬華區寶興街127號
134,2014,臺北市,135,萬澤內科診所,3501194595,108,臺北市萬華區萬大路425之1號 2-3樓
135,2014,臺北市,136,聖約翰婦產科診所,3501192528,108,臺北市萬華區東園街175號
136,2014,臺北市,137,快樂兒童診所,3501194424,108,臺北市萬華區寶興街121號
137,2014,臺北市,138,萬華劉小兒科診所,3501190168,108,臺北市萬華區康定路158號
138,2014,臺北市,139,永康診所,3501194657,108,臺北市萬華區桂林路47號
139,2014,臺北市,140,青年診所,3501194451,108,臺北市萬華區中華路2段424號
140,2014,臺北市,141,漢宗小兒科診所,3501192251,108,臺北市萬華區中華路2段434號1樓
141,2014,臺北市,142,瑞生診所,3501195690,108,臺北市萬華區西園路２段２５０號
142,2014,臺北市,143,新光醫療財團法人新光吳火獅紀念醫院,1101150011,111,臺北市士林區文昌路95號
143,2014,臺北市,144,臺北市立聯合醫院陽明院區,0101090517,111,臺北市士林區雨聲街105號
144,2014,臺北市,145,貝爾聯合診所,3501153236,111,臺北市士林區中山北路七段82巷9號1樓
145,2014,臺北市,146,張虔熙小兒科診所,3501153665,111,臺北市士林區中山北路六段282號
146,2014,臺北市,147,忠誠聯合診所,3501151849,111,臺北市士林區德行東路109巷102弄6號
147,2014,臺北市,148,家愛小兒科診所,3501153718,111,臺北市士林區中山北路五段633號
148,2014,臺北市,149,邱世昌診所,3501150388,111,臺北市士林區文林路718號
149,2014,臺北市,150,存德小兒科診所,3501150422,111,臺北市士林區文林路460號
150,2014,臺北市,151,周怡宏小兒科診所,3501153941,111,臺北市士林區基河路200號
151,2014,臺北市,152,愛林診所,3501153745,111,臺北市士林區後港街210號
152,2014,臺北市,153,蘇慧卿診所,3501151161,111,臺北市士林區大南路274號
153,2014,臺北市,154,慈田耳鼻喉科診所,3501151901,111,臺北市士林區延平北路五段185號
154,2014,臺北市,155,蕭雨青小兒科診所,3501151974,111,臺北市士林區延平北路五段292號
155,2014,臺北市,156,平安診所,3501153567,111,臺北市士林區社子街36-1號
156,2014,臺北市,157,臺北醫學大學附設醫院,1301170017,110,臺北市信義區吳興街252號
157,2014,臺北市,158,臺北市立聯合醫院附設信義門診部,2101170050,110,臺北市信義區信義路五段15號1樓
158,2014,臺北市,159,新穎全診所,3501173685,110,臺北市信義區和平東路三段265號
159,2014,臺北市,160,松禾診所,3501173836,110,臺北市信義區松山路130號3樓
160,2014,臺北市,161,登瑞安診所,3501173336,110,臺北市信義區林口街232號
161,2014,臺北市,162,仁康醫院,1501170039,110,臺北市信義區基隆路二段131-24號
162,2014,臺北市,163,王寬仁診所,3501171010,110,臺北市信義區虎林街121巷11號1樓
163,2014,臺北市,164,長風小兒科診所,3501171716,110,臺北市信義區莊敬路351號1樓
164,2014,臺北市,165,林應然小兒科診所,3501173425,110,臺北市信義區福德街75號
165,2014,臺北市,166,聯合報系員工診療所,3401171107,110,臺北市信義區忠孝東路4段559巷1號6樓
166,2014,臺北市,167,陽光耳鼻喉科,3501173032,110,臺北市信義區松山路484號之8號
167,2014,臺北市,168,張育驍診所,3501171225,110,臺北市信義區吳興街467巷2弄6號一樓
168,2014,臺北市,169,總站18號診所,3501174253,110,臺北市信義區吳興街467巷2弄18號
169,2014,臺北市,170,黃啟彰診所 ,3501170835,110,臺北市信義區松山路261-1號
170,2014,臺北市,171,大明診所,3501171654,110,臺北市信義區崇德街３５號１樓
171,2014,臺北市,172,邱婦產科,3501170237,110,臺北市信義區虎林街198號
172,2014,臺北市,173,宏安診所,3501173765,110,臺北市信義區忠孝東路5段191號1樓
173,2014,臺北市,174,台灣中油股份有限公司員工診療所 ,3401171116,110,臺北市信義區松仁路3號3樓
174,2014,臺北市,175,明輝診所,3501173327,110,臺北市信義區松隆路282-3號
175,2014,臺北市,176,慧祥診所,3501174306,110,臺北市信義區松山路484之5號
176,2014,臺北市,177,朱耳鼻喉科,3501170255,110,臺北市信義區忠孝東路五段452號
177,2014,臺北市,178,臺北市立聯合醫院附設大同門診部,2101090011,103,臺北市大同區昌吉街52號
178,2014,臺北市,179,施小兒科診所,3501090458,103,臺北市大同區重慶北路3段28號
179,2014,臺北市,180,建順診所,3501093584,103,臺北市大同區甘州街51號
180,2014,臺北市,181,澤康診所,3501093557,103,臺北市大同區重慶北路3段71號
181,2014,臺北市,182,啟仁診所,3501090305,103,臺北市大同區重慶北路3段80號
182,2014,臺北市,183,雙連婦產科小兒科診所,3501093155,103,臺北市大同區民生西路128號
183,2014,臺北市,184,黃博裕小兒科診所,3501090814,103,臺北市大同區赤峰街49巷21號
184,2014,臺北市,185,建成診所,3501092890,103,臺北市大同區長安西路82號
185,2014,臺北市,186,羅源彰診所,3501093299,103,臺北市大同區長安西路137號
186,2014,臺北市,187,澤民診所,3501093048,103,臺北市大同區酒泉街104號
187,2014,臺北市,188,王佳文內兒科診所,3501090065,103,臺北市大同區重慶北路3段274之1號
188,2014,臺北市,189,羅志弘診所,3501091133,103,臺北市大同區重慶北路3段115號
189,2014,臺北市,190,博安家庭醫學診所,3501028210,106,臺北市大安區麗水街3號
190,2014,臺北市,191,陳啟章小兒科診所,3501023368,106,臺北市大安區金山南路2段31巷9號
191,2014,臺北市,192,葉明憲診所,3501022727,106,臺北市大安區羅斯福路3段191號2樓
192,2014,臺北市,193,許靜瑛小兒科診所,3501028050,106,臺北市大安區和平東路一段230號1樓
193,2014,臺北市,194,健全聯合診所,3501023206,106,臺北市大安區金山南路2段152號1樓
194,2014,臺北市,195,佳音診所,3501022914,106,臺北市大安區復興南路一段261-3號
195,2014,臺北市,196,宏恩醫療財團法人宏恩綜合醫院,1101020036,106,臺北市大安區仁愛路4段71巷1號
196,2014,臺北市,197,中心診所醫療財團法人中心綜合醫院,1101020027,106,臺北市大安區忠孝東路4段77號
197,2014,臺北市,198,沈德昌診所,3501021579,106,臺北市大安區四維路189號
198,2014,臺北市,199,林繼國診所,3501021720,106,臺北市大安區忠孝東路3段217巷1弄12號
199,2014,臺北市,200,國泰醫療財團法人國泰綜合醫院,1101020018,106,臺北市大安區仁愛路四段280號
200,2014,臺北市,201,尹書田醫療財團法人書田泌尿科眼科診所,4001020028,106,臺北市大安區建國南路2段276號
201,2014,臺北市,202,中山醫療社團法人中山醫院,0901020013,106,臺北市大安區仁愛路4段112巷11號
202,2014,臺北市,203,延吉診所,3501025648,106,臺北市大安區延吉街241巷2弄5號1樓
203,2014,臺北市,204,涂白河診所,3501022325,106,臺北市大安區復興南路2段151巷21號
204,2014,臺北市,205,中央健康保險局臺北第二聯合門診中心,2701020020,106,臺北市大安區信義路三段140號1樓
205,2014,臺北市,206,劉建宏診所,3501027491,106,臺北市大安區大安路2段139號
206,2014,臺北市,207,安東診所,3501028292,106,臺北市大安區和平東路二段165號
207,2014,臺北市,208,仁安診所,3501022496,106,臺北市大安區和平東路二段175巷34號
208,2014,臺北市,209,啟誠聯合診所,3501022843,106,臺北市大安區和平東路2段120號
209,2014,臺北市,210,邱醫師診所,3501029351,106,臺北市大安區和平東路三段288號
210,2014,臺北市,211,全家聯合診所,3501021391,106,臺北市大安區和平東路二段353號
211,2014,臺北市,212,吳坤光婦產科診所,3501021239,106,臺北市大安區信義路四段59號
212,2014,臺北市,213,那明珠診所,3501028845,106,臺北市大安區和平東路三段8號1樓
213,2014,臺北市,214,林青穀家庭醫學科診所,3501021480,106,臺北市大安區大安路一段2號之1
214,2014,臺北市,215,健華診所,3501029922,106,臺北市大安區和平東路二段255號/257號4樓
215,2014,臺北市,216,黃文香兒科診所,3501029628,106,臺北市大安區忠孝東路四段250號2樓之一
216,2014,臺北市,217,臺北市立聯合醫院仁愛院區,0101090517,106,臺北市大安區仁愛路四段10號
217,2014,臺北市,218,臺北市立聯合醫院附設大安門診部,2101020019,106,臺北市大安區辛亥路3段15號
218,2014,臺北市,219,基督復臨安息日會醫療財團法人臺安醫院,1101010021,105,臺北市松山區福成里001鄰八德路二段424號
219,2014,臺北市,220,國軍松山總醫院附設民眾診療服務處,0501010019,105,臺北市松山區龍田里014鄰健康路 131號
220,2014,臺北市,221,博仁綜合醫院,1501010010,105,臺北市松山區復勢里018鄰光復北路66號
221,2014,臺北市,222,臺北市立聯合醫院附設松山門診部,2101010013,105,臺北市松山區慈祐里018鄰八德路四段692號1樓
222,2014,臺北市,223,詹前俊小兒科診所,3501010816,105,臺北市松山區東榮里007鄰民生東路五段105號
223,2014,臺北市,224,許韻純小兒科診所,3501011359,105,臺北市松山區東榮里028鄰民生東路五段3號
224,2014,臺北市,225,江崇萍小兒科診所,3501011260,105,臺北市松山區安平里006鄰南京東路五段251巷24弄27號1樓
225,2014,臺北市,226,車參薇小兒科診所,3501011493,105,臺北市松山區復勢里001鄰八德路三段195號1樓
226,2014,臺北市,227,馮子強診所,3501011279,105,臺北市松山區民有里024鄰民權東路三段160巷7號
227,2014,臺北市,228,閎新耳鼻喉科皮膚科聯合診所,3501012838,105,臺北市松山區八德路三段20之2號
228,2014,臺北市,229,安美診所,3501013031,105,臺北市松山區中崙里007鄰八德路2段386號2樓之4
229,2014,臺北市,230,黎博彥診所,3501013068,105,臺北市松山區富泰里007鄰民生東路五段230號
230,2014,臺北市,231,林忠志診所,3501010736,105,臺北市松山區安平里012鄰南京東路五段291巷20弄3-3號
231,2014,臺北市,232,劉內兒科診所,3501010094,105,臺北市松山區三民里013鄰民生東路五段148號1樓
232,2014,臺北市,233,大家好診所,3501013157,105,臺北市松山區東昌里012鄰民生東路四段80巷11弄2號1樓
233,2014,臺北市,234,杰聖診所,3501013442,105,臺北市松山區富泰里009鄰三民路96巷1號1樓 
234,2014,臺北市,235,華南小兒科診所,3501010987,105,臺北市松山區吉仁里008鄰延吉街30巷15號1樓
235,2014,臺北市,236,吳慶南內科診所,3501010932,105,臺北市松山區三民里011鄰民生東路五段138號
236,2014,臺北市,237,江建中診所,3501011037,105,臺北市松山區新聚里023鄰八德路四段285號1樓
237,2014,臺北市,238,王躬仁診所,3501011466,105,臺北市松山區東榮里003鄰新中街12-3號1樓
238,2014,臺北市,239,陳炳堅內科診所　,3501010763,105,臺北市松山區介壽里005鄰延壽街327號
239,2014,臺北市,240,安德聯合診所,3501011313,105,臺北市松山區敦化里014鄰八德路三段34號4樓
240,2014,臺北市,241,安禾聯合診所,3501013040,105,臺北市松山區民有里030鄰民權東路三段178號3樓
241,2014,臺北市,242,謝耳鼻喉科診所,3501010227,105,臺北市松山區三民里013鄰民生東路五段148號2樓
242,2014,臺北市,243,鈞賀診所,3501014476,106,臺北市松山區民生東路５段８９號
243,2014,臺北市,244,國立臺灣大學醫學院附設醫院,0401180014,100,臺北市中正區中山南路7號
244,2014,臺北市,245,臺北市立聯合醫院附設中正門診部,2101180038,100,臺北市中正區牯嶺街24號1樓
245,2014,臺北市,246,吳小兒科診所,3501181892,100,臺北市中正區寧波西街96號1樓
246,2014,臺北市,247,朱小兒科診所,3501181267,100,臺北市中正區汀洲路二段220號
247,2014,臺北市,248,周正成小兒科診所,3501181810,100,臺北市中正區忠孝東路二段22號
248,2014,臺北市,249,郵政總局郵政醫院,1501180035,100,臺北市中正區福州街14號
249,2014,臺北市,250,中央健康保險局臺北聯合門診中心,2701180030,100,臺北市中正區公園路15之1號
250,2014,臺北市,251,國軍台北門診中心附設民眾診療服務處,2501180018,100,臺北市中正區紹興南街7號
251,2014,臺北市,252,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,4001180010,100,臺北市中正區永綏街8號
252,2014,臺北市,253,怡和診所,3501183547,100,臺北市中正區汀洲路二段212號
253,2014,臺北市,254,同泰診所,3501181589,100,臺北市中正區汀洲路二段136號
254,2014,臺北市,255,健康101診所,3501183850,100,臺北市中正區牯嶺街97號
255,2014,臺北市,256,紹毅內兒科診所,3501180395,100,臺北市中正區八德路1段52號
256,2014,臺北市,257,悅心診所,3501184393,100,臺北市中正區羅斯福路2段7-2號
257,2014,臺北市,258,張孟源內科診所,3501181614,100,臺北市中正區中華路2段325號1樓
258,2014,臺北市,259,醫療財團法人好心肝基金會好心肝診所,4001180029,100,臺北市中正區公園路30號2樓-2
259,2014,臺北市,260,禾馨婦產科,3501184731,100,臺北市中正區懷寧街７８號、７８號２樓 
260,2014,臺北市,261,鈞安診所,3501184955,100,臺北市中正區中華路２段４３１號 
261,2014,臺北市,262,匯安診所,3501184384,100,臺北市中正區和平西路１段２０號５樓
262,2014,臺北市,263,三軍總醫院附設民眾診療服務處,0501110514,114,臺北市內湖區成功路2段325號
263,2014,臺北市,264,財團法人康寧醫院,1101110026,114,臺北市內湖區成功路5段420巷26號2樓
264,2014,臺北市,265,中國醫藥大學附設醫院臺北分院,1301110511,114,臺北市內湖區內湖路2段360號
265,2014,臺北市,266,臺北市立聯合醫院附設內湖門診部,2101110027,114,臺北市內湖區民權東路6段99號1樓
266,2014,臺北市,267,國泰醫療財團法人內湖國泰診所,4001110018,114,臺北市內湖區瑞光路506號
267,2014,臺北市,268,林永正診所,3501110777,114,臺北市內湖區康樂街130號
268,2014,臺北市,269,東湖內兒科診所,3501110026,114,臺北市內湖區東湖路4號
269,2014,臺北市,270,雙湖診所,3501110482,114,臺北市內湖區金龍路49號
270,2014,臺北市,271,焉醫師診所,3501113134,114,臺北市內湖區內湖路二段357-1號
271,2014,臺北市,272,劉淦華診所,3501110571,114,臺北市內湖區金龍路43號
272,2014,臺北市,273,王慶森診所,3501110115,114,臺北市內湖區港墘路65號
273,2014,臺北市,274,魏穀年診所,3501110188,114,臺北市內湖區內湖路1段403號
274,2014,臺北市,275,馬思特診所,3501110982,114,臺北市內湖區成功路4段53號
275,2014,臺北市,276,魏之明小兒科診所,3501112815,114,臺北市內湖區康寧路3段54-6號
276,2014,臺北市,277,大湖診所,3501112879,114,臺北市內湖區成功路四段368號
277,2014,臺北市,278,內湖吳婦產科,3501112646,114,臺北市內湖區金湖路403號2樓
278,2014,臺北市,279,林孟勳診所,3501112860,114,臺北市內湖區成功路4段61巷32弄2號
279,2014,臺北市,280,陳森豐診所,3501110080,114,臺北市內湖區環山路1段2號
280,2014,臺北市,281,康育診所,3501110231,114,臺北市內湖區成功路3段189號
281,2014,臺北市,282,日新診所,3501112851,114,臺北市內湖區成功路5段446號
282,2014,臺北市,283,謝小兒科,3501110811,114,臺北市內湖區東湖路147號2樓
283,2014,臺北市,284,洪永祥診所,3501112299,114,臺北市內湖區成功路3段6巷1號
284,2014,臺北市,285,新明診所,3501113563,115,臺北市內湖區新明路３８６號
285,2014,新北市,286,麗安診所,3531064448,242,新北市新莊區幸福路541號
286,2014,新北市,287,仁安醫院,1531130105,236,新北市土城區中央路１段６２．６４號
287,2014,新北市,288,昌明耳鼻喉科診所 ,3531065945,242,新北市新莊區昌明街８０號１樓
288,2014,新北市,289,長榮宥宥婦產科診所,3531142705,247,新北市蘆洲區永樂街２號１樓、２樓、３樓
289,2014,新北市,290,梁診所,3531132281,236,新北市土城區中央路４段７５號
290,2014,新北市,291,頂埔中心診所,3531133064,236,新北市土城區中央路４段２８６號１樓
291,2014,新北市,292,愛麗生婦產科診所,3531143248,247,新北市蘆洲區長榮路３２３號１－５樓及３２５號２－５樓
292,2014,新北市,293,潘俊亨婦產科診所,3531140256,247,新北市蘆洲區中山二路１３５號１－４樓
293,2014,新北市,294,五股區衛生所,2331150015,248,新北市五股區中興路４段６７號之１
